"","p_cal"
"1104",0.0211610368016305
"1105",0.44357234689857
"1106",0.913997564424348
"1107",0.546335488388044
"1108",0.589351986763276
"1109",0.319337993335108
"1110",0.0909351068895606
"1111",0.221515072057295
"1112",0.724333714652335
"1113",0.249280889245907
"1114",0.383488636800168
"1115",0.0864724904130749
"1116",0.664513719750377
"1117",0.564001839455682
"1118",0.443959274467398
"1119",0.888607849885946
"1120",0.0862856415626132
"1121",0.590458619117014
"1122",0.230757148917979
"1123",0.680900236919632
"1124",0.059299550209435
"1125",0.701567633517162
"1126",0.303104315458366
"1127",0.433036118358857
"1128",0.48792994772861
"1129",0.246960603953036
"1130",0.0305309251889141
"1131",0.383201066611083
"1132",0.044208352541866
"1133",0.708737162285414
"1134",0.01601170885022
"1135",0.0329909462150449
"1136",0.493796356244978
"1137",0.852022622765099
"1138",0.564681273227879
"1139",0.212237755791254
"1140",0.238257465024477
"1141",0.244413608965937
"1142",0.0611245044218392
"1143",0.0103040615698351
"1144",0.251025312204824
"1145",0.115568427138332
"1146",0.0913084483382154
"1147",0.50315697056863
"1148",0.397068402762024
"1149",0.593641968808142
"1150",0.0266075177819208
"1151",0.111989048849731
"1152",0.531691232725217
"1153",0.071070822819402
"1154",0.83659639808266
"1155",0.648656304416214
"1156",0.052232535314965
"1157",0.0357430273607606
"1158",0.762524410297559
"1159",0.682968117588534
"1160",0.898682487057742
"1161",0.465891585090222
"1162",0.356165541805434
"1163",0.0707821612880045
"1164",0.85498476013125
"1165",0.277654149379698
"1166",0.906402337105651
"1167",0.403587642122131
"1168",0.0288714246617643
"1169",0.744222324738946
"1170",0.0650722667275343
"1171",0.77946404846219
"1172",0.188730964465384
"1173",0.187290370803752
"1174",0.138478794122498
"1175",0.742124749072453
"1176",0.342490520158893
"1177",0.585795834118759
"1178",0.405709732629941
"1179",0.771778269140303
"1180",0.118213094472988
"1181",0.771968047442133
"1182",0.0369711715185541
"1183",0.522141592453265
"1184",0.369425343204439
"1185",0.0797894308299765
"1186",0.174187919913403
"1187",0.0408896310433473
"1188",0.122144836567977
"1189",0.140258936096536
"1190",0.809756745643944
"1191",0.02126824680846
"1192",0.4354456830493
"1193",0.0276278183457129
"1194",0.471644642399145
"1195",0.529652210620188
"1196",0.0298583776099709
"1197",0.902277163002869
"1198",0.591910143319234
"1199",0.823376959863167
"1200",0.532022750611277
"1201",0.092485364537943
"1202",0.763411149133104
"1203",0.746778610890051
"1204",0.0171750117909022
"1205",0.591740361234946
"1206",0.620079844985263
"1207",0.537165458426003
"1208",0.631599486450143
"1209",0.130986463567681
"1210",0.0190717361777565
"1211",0.715748468322041
"1212",0.12741621205215
"1213",0.533060072912396
"1214",0.0347576569762067
"1215",0.22698835028991
"1216",0.0404004281603903
"1217",0.465943874343302
"1218",0.126256805939385
"1219",0.622639144122625
"1220",0.649378680535441
"1221",0.0121059762666757
"1222",0.0152448028953769
"1223",0.0127648952549955
"1224",0.634672429743931
