day_of_arrival,mean_arrival_triage,mean_arrival_ed,mean_arrival_referral,arrival_medical_assessment,mean_arrival_consultant_assessment,sdec_appopriate,prop_sdec_accepted,time_in_ed,prop_>4hr_breach,prop_>12hr_breach,run_number
Sun,2.4893179528187876,27.018747640493466,,1244.0307597927138,1579.7881193594658,0.07531380753138076,0.050505050505050504,302.7772805670727,0.23376623376623376,0.1038961038961039,17
Thu,4.557513404750259,39.99089310088791,,1541.4111483488966,1847.709737349914,0.09090909090909091,0.018779342723004695,434.7953114318037,0.3088235294117647,0.16176470588235295,17
Tue,7.466630586847305,59.60921522612622,,747.0354027432618,886.8589575354036,0.09655172413793103,0.020080321285140562,267.9511985730491,0.31232876712328766,0.0958904109589041,17
Wed,9.38828966336656,42.76840488659039,,1199.145654502466,1527.6829609414917,0.09310344827586207,0.017467248908296942,405.91032543381425,0.3418079096045198,0.18361581920903955,17
Fri,4.490328537448229,31.536834784548567,50.22964903610955,275.7542028156614,500.3255522604662,0.09881422924901186,0.018691588785046728,179.80538133783043,0.24926686217008798,0.005865102639296188,18
Mon,3.8126416101906466,27.804802295257158,,119.7196774555181,234.24755237558952,0.11678832116788321,0.035398230088495575,149.89077884608966,0.14121037463976946,0.0,18
Sat,1.7672178282517972,30.089294837649344,69.50396134270977,88.63783755744709,333.13912266891504,0.1095890410958904,0.022222222222222223,190.75676213541308,0.2935153583617747,0.020477815699658702,18
Sun,3.1305530520220852,19.433225614106142,62.44896691322356,146.9279451995032,414.7711649606905,0.09361702127659574,0.041025641025641026,194.43337783676586,0.2459016393442623,0.036065573770491806,18
Thu,4.178452204990082,26.226694124664903,,347.12874811319915,590.7646035221044,0.10080645161290322,0.019230769230769232,205.3103466830844,0.2168284789644013,0.05177993527508091,18
Tue,1.8845160393261842,29.349446116487975,42.71540892611074,369.2939262517075,660.9072944802537,0.0942622950819672,0.02912621359223301,222.426957506181,0.2950310559006211,0.049689440993788817,18
Wed,6.2639643952323745,28.654752316444597,40.765220879397475,422.91591493490955,573.6539228389646,0.1111111111111111,0.018604651162790697,226.37694362902678,0.25846153846153846,0.052307692307692305,18
Fri,3.7075573691695625,52.96675277901019,,1120.640314233348,1376.9706216798193,0.0992063492063492,0.019138755980861243,346.61845937827604,0.3383233532934132,0.1317365269461078,19
Mon,3.112342709233564,23.18133541403788,86.00563009921461,1251.0338532936894,,0.11627906976744186,0.056338028169014086,120.17589664933008,0.0893371757925072,0.002881844380403458,19
Sat,1.7178449775937195,30.249721952007434,,1248.229375849068,1573.311696781905,0.1559633027522936,0.022727272727272728,427.42354490286306,0.25830258302583026,0.15498154981549817,19
Sun,3.5736714480033767,17.103527092172946,,1087.6502284850828,1461.0346229959587,0.08196721311475409,0.055,231.82663347821438,0.14423076923076922,0.0673076923076923,19
Thu,7.84387986512192,66.1626424619012,,1134.9478288365833,1311.2519731924224,0.1003584229390681,0.017167381974248927,336.67589719741187,0.3426183844011142,0.14484679665738162,19
Tue,3.740741828421198,109.70284034737907,,883.5899997558494,1046.1335355499268,0.11929824561403508,0.022123893805309734,368.972371175098,0.45403899721448465,0.15877437325905291,19
Wed,3.0717315903066966,65.68966970319548,,1152.147478475388,1320.8480882952847,0.09163346613545817,0.018691588785046728,309.3943052143427,0.35347432024169184,0.12386706948640483,19
Fri,5.403220681646594,44.892006310906076,84.76210612576051,937.2301199511197,1120.3713407566554,0.07380073800738007,0.017777777777777778,297.4862671352201,0.2672413793103448,0.14080459770114942,20
Mon,3.5826849346338223,21.24200423781419,156.73843797826794,,,0.099644128113879,0.04583333333333333,110.0591562852386,0.08021390374331551,0.0,20
Sat,6.632465411155075,33.95456897034121,40.99002349328748,1587.4946179722147,1883.5901209526526,0.058333333333333334,0.021164021164021163,474.0222565794876,0.3366013071895425,0.17973856209150327,20
Sun,2.8478676621471095,26.912192210834117,,1697.815174949287,1872.2413275679144,0.12719298245614036,0.041666666666666664,319.719146988992,0.21428571428571427,0.11224489795918367,20
Thu,3.711285709891644,29.386029838635707,119.30197299213614,727.5654130875672,889.5567237721756,0.07575757575757576,0.019230769230769232,277.46852881126404,0.30409356725146197,0.10818713450292397,20
Tue,3.804782860977732,60.95705351091545,154.72171187520917,267.997032155384,404.5619419241517,0.11904761904761904,0.028037383177570093,214.50532815946113,0.3373860182370821,0.0243161094224924,20
Wed,12.206045363847606,45.517049304459206,,295.27889704580264,481.52651394095216,0.10980392156862745,0.018957345971563982,200.42354711264284,0.2710843373493976,0.03614457831325301,20
